Who?	('<SOS>', 'को?', '<EOS>')
I am from Brazil.	('<SOS>', 'म ब्राजिलबाट हुँ।', '<EOS>')
I am truly sorry.	('<SOS>', 'मलाई माफ गर्नुहोस्।', '<EOS>')
I can't beat Tom.	('<SOS>', 'म टमलाई हराउन सक्दिन।', '<EOS>')
I can't beat Tom.	('<SOS>', 'म टमलाई जित्न सक्दिन।', '<EOS>')
I can't eat rice.	('<SOS>', 'म भात खान सक्दिन।', '<EOS>')
I don't eat beef.	('<SOS>', 'म गाईको मासु खाँदिन।', '<EOS>')
I don't eat beef.	('<SOS>', 'म गाईको मासु खान्न।', '<EOS>')
I don't eat rice.	('<SOS>', 'म भात खान्न।', '<EOS>')
I don't know her.	('<SOS>', 'म तिनलाई चिन्दिन।', '<EOS>')
I drink a little.	('<SOS>', 'म अलिकति पिउँछु ।', '<EOS>')
I drink tea, too.	('<SOS>', 'म पनि चिया पिउँछु ।', '<EOS>')
I drink to relax.	('<SOS>', 'म आराम गर्न पिउँछु।', '<EOS>')
I eat everything.	('<SOS>', 'म सबै खान्छु।', '<EOS>')
I eat vegetables.	('<SOS>', 'म तरकारी खान्छु।', '<EOS>')
I have to go out.	('<SOS>', 'म बाहिर जानु पर्छ।', '<EOS>')
I hear something.	('<SOS>', 'म केहि सुन्छु।', '<EOS>')
I like pop music.	('<SOS>', 'मलाई पप गीत मन पर्छ।', '<EOS>')
I live near here.	('<SOS>', 'म यहाँ नजिकै बस्छु।', '<EOS>')
I love egg yolks.	('<SOS>', 'मलाई अण्डाको पहेलो भाग मन पर्छ।', '<EOS>')
I miss you a lot.	('<SOS>', 'मलाई तिम्रो धेरै याद आइरहेको छ।', '<EOS>')
I miss you badly.	('<SOS>', 'मलाई तिम्रो धेरै याद आइरहेको छ।', '<EOS>')
I saw Tom crying.	('<SOS>', 'मैले टम रोइरहेको देखें।', '<EOS>')
I was born there.	('<SOS>', 'म त्यहीँ जन्मिएँ ।', '<EOS>')
I was very upset.	('<SOS>', 'म निकै उदास थिएँ ।', '<EOS>')
I wasn't careful.	('<SOS>', 'म सचेत थिइनँ।', '<EOS>')
I will translate.	('<SOS>', 'म अनुवाद गर्छु।', '<EOS>')
I'm OK with that.	('<SOS>', 'म त्यो संग ठीक छु।', '<EOS>')
I'm middle class.	('<SOS>', 'म मध्यमवर्गीय हुँ।', '<EOS>')
I'm not creative.	('<SOS>', 'म रचनात्मक छुइन।', '<EOS>')
I'm not on drugs.	('<SOS>', 'म लागुऔषध मा छैन।', '<EOS>')
I'm not so brave.	('<SOS>', 'म त्यति बहादुर छैन।', '<EOS>')
I'm not sure yet.	('<SOS>', 'म अझै पक्का छैन।', '<EOS>')
I'm off tomorrow.	('<SOS>', 'म भोलि बिदामा छु।', '<EOS>')
I'm on your side.	('<SOS>', 'म तिमीलाई समर्थन गर्छु।', '<EOS>')
I'm out of ideas.	('<SOS>', 'म बिचारबाट बाहिर छु।', '<EOS>')
I'm out of shape.	('<SOS>', 'मेरो आकार छैन।', '<EOS>')
I'm out of sugar.	('<SOS>', 'मेरो चिनी सकिएको छ।', '<EOS>')
I'm the youngest.	('<SOS>', 'म सबैभन्दा कान्छो हुँ।', '<EOS>')
I'm the youngest.	('<SOS>', 'म सबैभन्दा कान्छी हुँ।', '<EOS>')
I've been stupid.	('<SOS>', 'म मुर्ख भएको छु।', '<EOS>')
Is Tom here, too?	('<SOS>', 'के टम पनि यहाँ छ?', '<EOS>')
Nice to meet you.	('<SOS>', 'तपाईँलाई भेटेर खुशी लाग्यो।', '<EOS>')
People are dying.	('<SOS>', 'मानिसहरु मरिरहेका छन् ।', '<EOS>')
People are dying.	('<SOS>', 'मान्छे मरिरहेका छन् ।', '<EOS>')
Respect yourself.	('<SOS>', 'आफैलाई सम्मान गर्नुहोस्।', '<EOS>')
She is beautiful.	('<SOS>', 'उनी सुन्दर छिन्।', '<EOS>')
She loves coffee.	('<SOS>', 'उनलाई कफी मन पर्छ।', '<EOS>')
Stay for a while.	('<SOS>', 'केही बेर बस्नुहोस्।', '<EOS>')
Stop annoying me.	('<SOS>', 'मलाई कष्ट दिन बन्द गर्नुहोस्।', '<EOS>')
The sea was calm.	('<SOS>', 'समुद्र शान्त थियो।', '<EOS>')
The work is done.	('<SOS>', 'काम सकियो।', '<EOS>')
There's a plan B.	('<SOS>', 'त्यहाँ योजना बी छ।', '<EOS>')
They like French.	('<SOS>', 'तिनीहरू फ्रान्सेली मन पराउँछन्।', '<EOS>')
This TV is heavy.	('<SOS>', 'यो टिभी भारी छ।', '<EOS>')
This is our team.	('<SOS>', 'यो हाम्रो टोली हो।', '<EOS>')
Tom bought a gun.	('<SOS>', 'टमले बन्दुक किन्यो।', '<EOS>')
Tom felt amazing.	('<SOS>', 'टमलाई अचम्म लाग्यो।', '<EOS>')
Tom is in heaven.	('<SOS>', 'टम स्वर्गमा छ।', '<EOS>')
Tom is obnoxious.	('<SOS>', 'टम अपमानजनक छ।', '<EOS>')
Tom is so strong.	('<SOS>', 'टम एकदमै बलियो छ।', '<EOS>')
Tom is unmarried.	('<SOS>', 'टम अविवाहित छ।', '<EOS>')
Tom laughs a lot.	('<SOS>', 'टम धेरै हाँस्छन्।', '<EOS>')
Tom will be over.	('<SOS>', 'टम समाप्त हुनेछ।', '<EOS>')
Tom wouldn't cry.	('<SOS>', 'टम रुने थिएन।', '<EOS>')
Use a calculator.	('<SOS>', 'क्याल्कुलेटर प्रयोग गर्नुहोस्।', '<EOS>')
We just got here.	('<SOS>', 'हामी भर्खरै यहाँ आइ पुग्यौं।', '<EOS>')
We're still open.	('<SOS>', 'हामी अझ खुल्ला छौ।', '<EOS>')
What did Tom add?	('<SOS>', 'टमले के थप्यो?', '<EOS>')
What did Tom ask?	('<SOS>', 'टमले के सोधे?', '<EOS>')
What did Tom use?	('<SOS>', 'टमले के प्रयोग गरेको थियो?', '<EOS>')
What did you say?	('<SOS>', 'तपाईले के भन्नु भयो ?', '<EOS>')
Which is correct?	('<SOS>', 'कुन सहि हो?', '<EOS>')
Who cares anyway?	('<SOS>', 'जे भए पनि कसले वास्ता गर्छ?', '<EOS>')
You sound bitter.	('<SOS>', 'तिमी तितो सुनिन्छौ।', '<EOS>')
Are they Japanese?	('<SOS>', 'के ती मानिसहरू जापानी हुन्?', '<EOS>')
Did you draw that?	('<SOS>', 'के तपाईंले त्यो चित्र बनाउनुभएको हो ?', '<EOS>')
Do you have a car?	('<SOS>', 'के तपाईसँग कार छ?', '<EOS>')
Do you have plans?	('<SOS>', 'के तपाईंसँग योजनाहरू छन्?', '<EOS>')
He called my name.	('<SOS>', 'उसले मेरो नाम बोलायो।', '<EOS>')
He is influential.	('<SOS>', 'उहाँ प्रभावशाली हुनुहुन्छ।', '<EOS>')
His eyes are blue.	('<SOS>', 'उसका आँखा नीलो छन्।', '<EOS>')
How was your trip?	('<SOS>', 'तपाइँको यात्रा कस्तो रह्यो?', '<EOS>')
I am 19 years old.	('<SOS>', 'म १९ वर्षको भएँ।', '<EOS>')
I am 19 years old.	('<SOS>', 'म १९ वर्षको हुँ ।', '<EOS>')
I am a translator.	('<SOS>', 'म एक अनुवादक हुँ।', '<EOS>')
I danced with Tom.	('<SOS>', 'मैले टमसँग नाचें।', '<EOS>')
I decided to stay.	('<SOS>', 'मैले बस्ने निर्णय गरें।', '<EOS>')
I decided to wait.	('<SOS>', 'मैले पर्खने निर्णय गरें।', '<EOS>')
I didn't eat rice.	('<SOS>', 'मैले भात खाइनँ ।', '<EOS>')
I didn't get paid.	('<SOS>', 'मैले तलब पाएको छैन।', '<EOS>')
I don't want them.	('<SOS>', 'म तिनीहरूलाई चाहन्न।', '<EOS>')
I drink to forget.	('<SOS>', 'म बिर्सनका लागि पिउँछु ।', '<EOS>')
I enjoy what I do.	('<SOS>', 'म जे गर्छु त्यसमा रमाउछु।', '<EOS>')
I have a headache.	('<SOS>', 'मेरो टाउको दुखेको छ।', '<EOS>')
I have no friends.	('<SOS>', 'मेरा कोही साथी छैनन्।', '<EOS>')
I haven't decided.	('<SOS>', 'मैले निर्णय गरेको छैन।', '<EOS>')
I know Tom is mad.	('<SOS>', 'मलाई थाहा छ टम पागल छ।', '<EOS>')
I like sandwiches.	('<SOS>', 'मलाई स्यान्डविच मन पर्छ।', '<EOS>')
I live in comfort.	('<SOS>', 'म आराममा बस्छु ।', '<EOS>')
I love this store.	('<SOS>', 'मलाई यो स्टोर मन पर्छ।', '<EOS>')
I read everything.	('<SOS>', 'म सबै पढ्छु।', '<EOS>')
I read everything.	('<SOS>', 'मैले सबै पढे।', '<EOS>')
I said good night.	('<SOS>', 'मैले शुभ रात्रि भने ।', '<EOS>')
I want a daiquiri.	('<SOS>', 'म एक डाईक्वरी चाहन्छु।', '<EOS>')
I was hurt by Tom.	('<SOS>', 'टमले मलाई चोट पुर्यायो।', '<EOS>')
I went downstairs.	('<SOS>', 'म तलतिर गएँ।', '<EOS>')
I will do my best.	('<SOS>', 'म सक्दो प्रयास गर्नेछु।', '<EOS>')
I'm a bit worried.	('<SOS>', 'म अलि चिन्तित छु।', '<EOS>')
I'm a taxi driver.	('<SOS>', 'म ट्याक्सी चालक हुँ।', '<EOS>')
I'm having a baby.	('<SOS>', 'म बच्चा जन्माउँदै छु।', '<EOS>')
I'm really hungry.	('<SOS>', 'मलाई धेरै भोक लागेको छ।', '<EOS>')
Is that person OK?	('<SOS>', 'के त्यो मान्छे ठीक छ?', '<EOS>')
Is this your bike?	('<SOS>', 'के यो तिम्रो साइकल हो?', '<EOS>')
It could be risky.	('<SOS>', 'यो जोखिमपूर्ण हुन सक्छ।', '<EOS>')
It was a hard day.	('<SOS>', 'त्यो एक कठिन दिन थियो।', '<EOS>')
It's a risky plan.	('<SOS>', 'यो एक जोखिमपूर्ण योजना हो।', '<EOS>')
It's not that far.	('<SOS>', 'यो त्यति टाढा छैन।', '<EOS>')
Let's eat dessert.	('<SOS>', 'मिठाई, खाऔं।', '<EOS>')
Let's take a look.	('<SOS>', 'एक पटक हेरौं।', '<EOS>')
Please come again.	('<SOS>', 'कृपया फेरि आउनुहोस्।', '<EOS>')
Please come again.	('<SOS>', 'कृपया फेरि आउनुहोला।', '<EOS>')
Please correct it.	('<SOS>', 'कृपया यसलाई सच्याउनुहोस्।', '<EOS>')
Please keep quiet.	('<SOS>', 'कृपया शान्त रहनु होला।', '<EOS>')
Please stop lying.	('<SOS>', 'कृपया झूट बोल्न बन्द गर्नुहोस्।', '<EOS>')
She is aggressive.	('<SOS>', 'उनी आक्रामक छिन्।', '<EOS>')
She is attractive.	('<SOS>', 'उनी आकर्षक छिन्।', '<EOS>')
She loves to fish.	('<SOS>', 'उनी माछा मार्न एकदमै मन पराउँछिन्।', '<EOS>')
Take one of these.	('<SOS>', 'यी मध्ये एक लिनुहोस्।', '<EOS>')
Tell me about Tom.	('<SOS>', 'मलाई टमको बारेमा बताउनुहोस्।', '<EOS>')
Tell them to stop.	('<SOS>', 'तिनीहरूलाई रोक्न भन्नुहोस्।', '<EOS>')
Thank you so much.	('<SOS>', 'धेरै धेरै धन्यवाद।', '<EOS>')
That's a big deal.	('<SOS>', 'त्यो ठूलो कुरा हो।', '<EOS>')
The bus just left.	('<SOS>', 'बस भर्खरै छुट्यो।', '<EOS>')
This hat is yours.	('<SOS>', 'यो टोपी तिम्रो हो।', '<EOS>')
This is my choice.	('<SOS>', 'यो मेरो रोजाई हो।', '<EOS>')
Tom became cranky.	('<SOS>', 'टम पागल भयो।', '<EOS>')
Tom bought a coat.	('<SOS>', 'टमले कोट किने।', '<EOS>')
Tom bought a coat.	('<SOS>', 'टमले कोट किन्यो।', '<EOS>')
Tom can't come in.	('<SOS>', 'टम भित्र आउन सक्दैन।', '<EOS>')
Tom disliked Mary.	('<SOS>', 'टम मेरीलाई घृणा गर्थ्यो।', '<EOS>')
Tom disliked Mary.	('<SOS>', 'टम मेरीलाई मन परौउँदैन थियो।', '<EOS>')
Tom isn't certain.	('<SOS>', 'टम निश्चित छैन।', '<EOS>')
Tom lit the stove.	('<SOS>', 'टमले चुलो बाल्यो।', '<EOS>')
Tom lit the stove.	('<SOS>', 'टमले चुलोमा आगो बाल्यो।', '<EOS>')
Tom scored a goal.	('<SOS>', 'टमले गोल गरे !', '<EOS>')
Tom used to smoke.	('<SOS>', 'टम धुम्रपान गर्थे।', '<EOS>')
Tom was in heaven.	('<SOS>', 'टम स्वर्गमा थियो।', '<EOS>')
Tom was very cold.	('<SOS>', 'टम धेरै चिसो थियो।', '<EOS>')
Two beers, please.	('<SOS>', 'कृपया, दुईवटा बियर।', '<EOS>')
We are classmates.	('<SOS>', 'हामी सहपाठी हौं।', '<EOS>')
We waited outside.	('<SOS>', 'हामी बाहिर पर्ख्यौं।', '<EOS>')
Were you truthful?	('<SOS>', 'के तपाई सत्यवादी हुनुहुन्थ्यो?', '<EOS>')
What is your name?	('<SOS>', 'तिम्रो नाम के हो?', '<EOS>')
When was she born?	('<SOS>', 'उनी कहिले जन्मिइन् ?', '<EOS>')
Where was he born?	('<SOS>', 'उ कहाँ जन्मेको थियो?', '<EOS>')
Who is Tom anyway?	('<SOS>', 'जे भए पनि टम को हो?', '<EOS>')
Who is Tom really?	('<SOS>', 'टम साँच्चै को हो?', '<EOS>')
Who is Tom to you?	('<SOS>', 'तपाईको लागि टम को हो?', '<EOS>')
Who's at the door?	('<SOS>', 'ढोकामा को छ?', '<EOS>')
You have no proof.	('<SOS>', 'तपाईंसँग कुनै प्रमाण छैन।', '<EOS>')
You have no proof.	('<SOS>', 'तिमिसँग कुनै प्रमाण छैन।', '<EOS>')
You look very sad.	('<SOS>', 'तिमी धेरै दुःखी देखिन्छौ।', '<EOS>')
You look very sad.	('<SOS>', 'तिमी धेरै उदास देखिन्छौ।', '<EOS>')
You need to sleep.	('<SOS>', 'तपाईंले सुत्नु पर्छ।', '<EOS>')
A lot of fish died.	('<SOS>', 'धेरै माछा मरे।', '<EOS>')
Are you colleagues?	('<SOS>', 'के तपाई सहकर्मी हुनुहुन्छ?', '<EOS>')
Bananas are yellow.	('<SOS>', 'केरा पहेंलो हुन्छ।', '<EOS>')
Can we do it again?	('<SOS>', 'के हामी यसलाई फेरि गर्न सक्छौं?', '<EOS>')
