who?	को?
when were you born?	तपाई कहिले जन्मिनुभयो ?
where was tom born?	टम कहाँ जन्मिएको थियो?
where's tom anyway?	जे भए पनि टम कहाँ छ?
where's the toilet?	शौचालय कहाँ छ?
who are you anyway?	जे भए पनि तपाई को हुनुहुन्छ?
who are you anyway?	जे भए पनि तिमी को हौ?
who exactly is tom?	ठ्याक्कै टम को हो?
who is tom jackson?	टम ज्याक्सन को हुन्?
who is tom, anyway?	जे भए पनि, टम को हो?
who's at the wheel?	कसले गाडी चलाउदै छ?
women like to talk.	महिलाहरु कुरा गर्न मन पराउँछन्।
you have a message.	तपाईंलाई एउटा सन्देश छ।
you're replaceable.	तपाईं प्रतिस्थापन योग्य हुनुहुन्छ।
are you out of work?	के तपाईसंग काम छैन ?
can i eat this cake?	के म यो केक खान सक्छु?
don't cry in public.	सार्वजनिक स्थानमा नरोऊ ।
give tom this money.	टमलाई यो पैसा दिनुहोस्।
go easy on the wine.	वाइन संयम भएर पिउनुहोस्।
have you ever flown?	के तपाई कहिल्यै उड्नुभएको छ?
he seems to be sick.	ऊ बिरामी देखिन्छ।
he seems to be sick.	ऊ अस्वस्थ देखिन्छ।
how old are you now?	तपाई अहिले कति वर्षको हुनुभयो?
how was your winter?	तपाईको जाडो कस्तो रह्यो ?
i bought tom a book.	मैले टमलाई एउटा किताब किनें।
i can see a pattern.	म एउटा ढाँचा देख्न सक्छु।
i can teach english.	म अंग्रेजी पढाउन सक्छु।
i decided not to go.	मैले नजाने निर्णय गरें।
i don't like sports.	मलाई खेलकुद मन पर्दैन।
i eat a lot of rice.	म धेरै भात खान्छु।
i had a pocketknife.	म सँग कर्द थियो।
i hate taking notes.	मलाई नोटहरू लिन मन लाग्दैन।
i have bad eyesight.	मेरो आँखाको अवस्था ठिक छैन।
i have to study now.	मैले अब अध्ययन गर्नुपर्छ।
i have to study now.	मैले अब पढ्नुपर्छ।
i know tom's secret.	मलाई टमको गोप्य कुरा थाहा छ।
i know when to quit.	कहिले छोड्ने मलाई थाहा छ।
i like light colors.	मलाई उज्यालो रंग मन पर्छ।
i love tom and mary.	म टम र मेरीलाई माया गर्छु।
i make €100 a day.	म प्रति दिन एक सय यूरो कमाउँछु।
i met tom at a club.	मैले टमलाई क्लबमा भेटें।
i met him yesterday.	मैले हिजो उहाँलाई भेटे।
i met him yesterday.	मैले हिजो उनलाई भेटे।
i sometimes stutter.	म कहिलेकाहीँ बोल्दा भक्भकाउछु।
i sprang out of bed.	म ओछ्यानबाट निस्किए।
i totally forgot it.	मैले पूरै बिर्सें।
i want to hear more.	म अझ धेरै सुन्न चाहन्छु।
i want to try again.	म फेरि एकपटक प्रयास गर्न चाहन्छु।
i was hoping to win.	म जित्ने आशामा थिएँ।
i will become angry.	म क्रोधित हुनेछु।
i won't be defeated.	म पराजित हुने छैन।
i would die for you.	म तिम्रो लागि मर्न सक्छु।
i'll be coming home.	म घर आउदै छु।
i'm drinking coffee.	म कफी पिउदै छु।
i'm drinking coffee.	म कफी पिइरहेको छु।
i'm dying of hunger.	म भोकले मर्छु जस्तो भयो।
i'm eating rice now.	अहिले म भात खादै छु।
i'm not competitive.	म प्रतिस्पर्धी छैन।
i'm sorry. i forgot.	माफ गर्नुहोस्, मैले बिर्सिएँ।
i'm terribly hungry.	मलाई धेरै भोक लागेको छ।
i'm truly impressed.	म साँच्चै प्रभावित छु।
i'm waiting for him.	म उसलाई पर्खिरहेको छु।
i've got a headache.	मेरो टाउको दुखेको छ।
is she your teacher?	के तिनी तिम्रो शिक्षिका हुन्?
it's worth the pain.	यो दुख को लायक छ।
let's try something.	केही प्रयास गरौं।
many fish are dying.	धेरै माछा मरिरहेका छन्।
