who?	<SOS> को? <EOS>
he is influential.	<SOS> उहाँ प्रभावशाली हुनुहुन्छ। <EOS>
his eyes are blue.	<SOS> उसका आँखा नीलो छन्। <EOS>
how was your trip?	<SOS> तपाइँको यात्रा कस्तो रह्यो? <EOS>
i am 19 years old.	<SOS> म १९ वर्षको भएँ। <EOS>
i am 19 years old.	<SOS> म १९ वर्षको हुँ । <EOS>
i am a translator.	<SOS> म एक अनुवादक हुँ। <EOS>
i danced with tom.	<SOS> मैले टमसँग नाचें। <EOS>
i decided to stay.	<SOS> मैले बस्ने निर्णय गरें। <EOS>
i decided to wait.	<SOS> मैले पर्खने निर्णय गरें। <EOS>
i didn't eat rice.	<SOS> मैले भात खाइनँ । <EOS>
i didn't get paid.	<SOS> मैले तलब पाएको छैन। <EOS>
i don't want them.	<SOS> म तिनीहरूलाई चाहन्न। <EOS>
i drink to forget.	<SOS> म बिर्सनका लागि पिउँछु । <EOS>
i enjoy what i do.	<SOS> म जे गर्छु त्यसमा रमाउछु। <EOS>
i have a headache.	<SOS> मेरो टाउको दुखेको छ। <EOS>
i have no friends.	<SOS> मेरा कोही साथी छैनन्। <EOS>
i haven't decided.	<SOS> मैले निर्णय गरेको छैन। <EOS>
i know tom is mad.	<SOS> मलाई थाहा छ टम पागल छ। <EOS>
i like sandwiches.	<SOS> मलाई स्यान्डविच मन पर्छ। <EOS>
i live in comfort.	<SOS> म आराममा बस्छु । <EOS>
i love this store.	<SOS> मलाई यो स्टोर मन पर्छ। <EOS>
i read everything.	<SOS> म सबै पढ्छु। <EOS>
i read everything.	<SOS> मैले सबै पढे। <EOS>
i said good night.	<SOS> मैले शुभ रात्रि भने । <EOS>
i want a daiquiri.	<SOS> म एक डाईक्वरी चाहन्छु। <EOS>
i was hurt by tom.	<SOS> टमले मलाई चोट पुर्यायो। <EOS>
i went downstairs.	<SOS> म तलतिर गएँ। <EOS>
i will do my best.	<SOS> म सक्दो प्रयास गर्नेछु। <EOS>
i'm a bit worried.	<SOS> म अलि चिन्तित छु। <EOS>
i'm a taxi driver.	<SOS> म ट्याक्सी चालक हुँ। <EOS>
i'm having a baby.	<SOS> म बच्चा जन्माउँदै छु। <EOS>
i'm really hungry.	<SOS> मलाई धेरै भोक लागेको छ। <EOS>
is that person ok?	<SOS> के त्यो मान्छे ठीक छ? <EOS>
is this your bike?	<SOS> के यो तिम्रो साइकल हो? <EOS>
it could be risky.	<SOS> यो जोखिमपूर्ण हुन सक्छ। <EOS>
it was a hard day.	<SOS> त्यो एक कठिन दिन थियो। <EOS>
it's a risky plan.	<SOS> यो एक जोखिमपूर्ण योजना हो। <EOS>
it's not that far.	<SOS> यो त्यति टाढा छैन। <EOS>
let's eat dessert.	<SOS> मिठाई, खाऔं। <EOS>
let's take a look.	<SOS> एक पटक हेरौं। <EOS>
please come again.	<SOS> कृपया फेरि आउनुहोस्। <EOS>
please come again.	<SOS> कृपया फेरि आउनुहोला। <EOS>
please correct it.	<SOS> कृपया यसलाई सच्याउनुहोस्। <EOS>
please keep quiet.	<SOS> कृपया शान्त रहनु होला। <EOS>
please stop lying.	<SOS> कृपया झूट बोल्न बन्द गर्नुहोस्। <EOS>
she is aggressive.	<SOS> उनी आक्रामक छिन्। <EOS>
she is attractive.	<SOS> उनी आकर्षक छिन्। <EOS>
she loves to fish.	<SOS> उनी माछा मार्न एकदमै मन पराउँछिन्। <EOS>
take one of these.	<SOS> यी मध्ये एक लिनुहोस्। <EOS>
tell me about tom.	<SOS> मलाई टमको बारेमा बताउनुहोस्। <EOS>
tell them to stop.	<SOS> तिनीहरूलाई रोक्न भन्नुहोस्। <EOS>
thank you so much.	<SOS> धेरै धेरै धन्यवाद। <EOS>
that's a big deal.	<SOS> त्यो ठूलो कुरा हो। <EOS>
the bus just left.	<SOS> बस भर्खरै छुट्यो। <EOS>
this hat is yours.	<SOS> यो टोपी तिम्रो हो। <EOS>
this is my choice.	<SOS> यो मेरो रोजाई हो। <EOS>
tom became cranky.	<SOS> टम पागल भयो। <EOS>
tom bought a coat.	<SOS> टमले कोट किने। <EOS>
tom bought a coat.	<SOS> टमले कोट किन्यो। <EOS>
tom can't come in.	<SOS> टम भित्र आउन सक्दैन। <EOS>
tom disliked mary.	<SOS> टम मेरीलाई घृणा गर्थ्यो। <EOS>
tom disliked mary.	<SOS> टम मेरीलाई मन परौउँदैन थियो। <EOS>
tom isn't certain.	<SOS> टम निश्चित छैन। <EOS>
tom lit the stove.	<SOS> टमले चुलो बाल्यो। <EOS>
tom lit the stove.	<SOS> टमले चुलोमा आगो बाल्यो। <EOS>
tom scored a goal.	<SOS> टमले गोल गरे ! <EOS>
tom used to smoke.	<SOS> टम धुम्रपान गर्थे। <EOS>
tom was in heaven.	<SOS> टम स्वर्गमा थियो। <EOS>
tom was very cold.	<SOS> टम धेरै चिसो थियो। <EOS>
two beers, please.	<SOS> कृपया, दुईवटा बियर। <EOS>
we are classmates.	<SOS> हामी सहपाठी हौं। <EOS>
we waited outside.	<SOS> हामी बाहिर पर्ख्यौं। <EOS>
were you truthful?	<SOS> के तपाई सत्यवादी हुनुहुन्थ्यो? <EOS>
what is your name?	<SOS> तिम्रो नाम के हो? <EOS>
when was she born?	<SOS> उनी कहिले जन्मिइन् ? <EOS>
where was he born?	<SOS> उ कहाँ जन्मेको थियो? <EOS>
who is tom anyway?	<SOS> जे भए पनि टम को हो? <EOS>
who is tom really?	<SOS> टम साँच्चै को हो? <EOS>
who is tom to you?	<SOS> तपाईको लागि टम को हो? <EOS>
who's at the door?	<SOS> ढोकामा को छ? <EOS>
you have no proof.	<SOS> तपाईंसँग कुनै प्रमाण छैन। <EOS>
you have no proof.	<SOS> तिमिसँग कुनै प्रमाण छैन। <EOS>
you look very sad.	<SOS> तिमी धेरै दुःखी देखिन्छौ। <EOS>
you look very sad.	<SOS> तिमी धेरै उदास देखिन्छौ। <EOS>
you need to sleep.	<SOS> तपाईंले सुत्नु पर्छ। <EOS>
a lot of fish died.	<SOS> धेरै माछा मरे। <EOS>
are you colleagues?	<SOS> के तपाई सहकर्मी हुनुहुन्छ? <EOS>
bananas are yellow.	<SOS> केरा पहेंलो हुन्छ। <EOS>
can we do it again?	<SOS> के हामी यसलाई फेरि गर्न सक्छौं? <EOS>
happy father's day!	<SOS> बुबाको दिनको शुभकामना! <EOS>
happy father's day!	<SOS> बुवा दिवसको शुभकामना। <EOS>
he enjoyed cycling.	<SOS> उसलाई साइकल चलाउन रमाइलो लग्यो। <EOS>
he is always right.	<SOS> उहाँ सधैं सही हुनुहुन्छ। <EOS>
he is always right.	<SOS> ऊ सधैं सही छ। <EOS>
hi, how's it going?	<SOS> नमस्ते, कस्तो भइरहेको छ? <EOS>
how is your sister?	<SOS> तिम्री बहिनीलाई कस्तो छ? <EOS>
how smart are they?	<SOS> तिनीहरू कत्तिको बाठा छन्? <EOS>
i climbed mt. fuji.	<SOS> मैले माउन्ट फुजी चढेँ। <EOS>
i dance quite well.	<SOS> म एकदम राम्रो नृत्य गर्छु। <EOS>
i decided the same.	<SOS> मैले पनि त्यही निर्णय गरें । <EOS>
i don't believe it!	<SOS> मलाई यस्तो कुराको विश्वास लाग्दैन। <EOS>
i don't believe it.	<SOS> मलाई यस्तो कुराको विश्वास लाग्दैन। <EOS>
i drive everywhere.	<SOS> जताततै गाडी चलाउँछु। <EOS>
i had a bad moment.	<SOS> म सँग नराम्रो क्षण थियो। <EOS>
i like disco music.	<SOS> मलाई डिस्को संगीत मन पर्छ। <EOS>
i like this guitar.	<SOS> मलाई यो गिटार मनपर्छ। <EOS>
i like this guitar.	<SOS> मलाई यो गितार मनपर्छ। <EOS>
i love korean food.	<SOS> मलाई कोरियन खाना मन पर्छ। <EOS>
i love korean food.	<SOS> कोरियन खाना मन पर्छ। <EOS>
i love korean food.	<SOS> कोरियाको खाना मन पर्छ। <EOS>
i love korean food.	<SOS> कोरियाको खानेकुरा मन पर्छ। <EOS>
i need to exercise.	<SOS> मलाई व्यायाम गर्न आवश्यक छ। <EOS>
i teach tom french.	<SOS> म टमलाई फ्रेन्च सिकाउँछु। <EOS>
i think he is sick.	<SOS> मलाई लाग्छ उहाँ बिरामी हुनुहुन्छ। <EOS>
i think he is sick.	<SOS> मलाई लाग्छ ऊ बिरामी छ। <EOS>
i think he's happy.	<SOS> मलाई लाग्छ ऊ खुसी छ। <EOS>
i told tom to wait.	<SOS> मैले टमलाई पर्खन भनें। <EOS>
i went sightseeing.	<SOS> म घुम्न गएँ । <EOS>
i went windsurfing.	<SOS> म हावा खान गएँ। <EOS>
i'm glad it's over.	<SOS> यो सकिएकोमा म खुसी छु। <EOS>
i'm not courageous.	<SOS> म साहसी छुइन। <EOS>
is this a sentence?	<SOS> के यो वाक्य हो? <EOS>
is this room tom's?	<SOS> के यो टमको कोठा हो? <EOS>
is this seat taken?	<SOS> के यो सिटमा मान्छे हुनुहुन्छ? <EOS>
is this your house?	<SOS> यो तपाईको घर हो? <EOS>
is this your house?	<SOS> यो तिम्रो घर हो? <EOS>
is this your house?	<SOS> यो तेरो घर हो? <EOS>
is this your house?	<SOS> यो हजुरको घर हो? <EOS>
keep away from tom.	<SOS> टमबाट टाढा रहनुहोस्। <EOS>
let me rephrase it.	<SOS> मलाई यसलाई दोहोर्याउन दिनुहोस्। <EOS>
mt. fuji is famous.	<SOS> माउन्ट फुजी प्रसिद्ध छ। <EOS>
my mailbox is full.	<SOS> मेरो मेलबक्स भरिएको छ। <EOS>
please call me tom.	<SOS> कृपया मलाई टम भन्नुहोस्। <EOS>
please don't worry.	<SOS> कृपया चिन्ता नगर्नुहोस्। <EOS>
please don't worry.	<SOS> चिन्ता नलिनुहोस्। <EOS>
please repair this.	<SOS> कृपया यसलाई ठीक गर्नुहोस्। <EOS>
please repeat that.	<SOS> कृपया यसलाई दोहोर्याउनुहोस्। <EOS>
she is unconscious.	<SOS> उनी बेहोस छिन् । <EOS>
she is unconscious.	<SOS> उनी अचेत छिन् । <EOS>
she threatened him.	<SOS> उनले उसलाई धम्की दिइन्। <EOS>
she was born lucky.	<SOS> उनी भाग्यमानी जन्मिएकी थिइन् । <EOS>
take off your mask.	<SOS> मास्क फुकाल्नुहोस्। <EOS>
that's my umbrella.	<SOS> यो मेरो छाता हो। <EOS>
the cat drank milk.	<SOS> बिरालोले दूध खायो। <EOS>
the house is empty.	<SOS> घर खाली छ । <EOS>
the lamp is broken.	<SOS> बत्ती बिग्रिएको छ। <EOS>
